o 	 w 	 F_D
1.668187767064242877e+00 -1.676598274946063505e+00 1.357999999999999208e+00
1.659430411475423028e+00 -1.677396361347907261e+00 1.357999999999999208e+00
1.667443210610702664e+00 -1.676667018108839891e+00 1.357999999999999208e+00
1.666698623668398938e+00 -1.676735599393974985e+00 1.357999999999999208e+00
1.665954006305089052e+00 -1.676804018596247614e+00 1.357999999999999208e+00
1.665209358595124201e+00 -1.676872275506765320e+00 1.357999999999999208e+00
1.658735414407477293e+00 -1.680472710237367773e+00 1.358999999999999098e+00
1.666762909625742139e+00 -1.679742276168759929e+00 1.358999999999999098e+00
1.657989137806030300e+00 -1.680539636179854135e+00 1.358999999999999098e+00
1.666016957004270438e+00 -1.679810960420155874e+00 1.358999999999999098e+00
1.657242831520040482e+00 -1.680606397474033953e+00 1.358999999999999098e+00
1.665270973920979003e+00 -1.679879482265642654e+00 1.358999999999999098e+00
1.656496495625336962e+00 -1.680672993910267365e+00 1.358999999999999098e+00
1.664524960436462919e+00 -1.679947841500680328e+00 1.358999999999999098e+00
1.655750130191382397e+00 -1.680739425282248067e+00 1.358999999999999098e+00
1.663778916639625294e+00 -1.680016037909710214e+00 1.358999999999999098e+00
1.663032842588219040e+00 -1.680084071291140457e+00 1.358999999999999098e+00
1.662286738366145045e+00 -1.680151941430937601e+00 1.358999999999999098e+00
1.661540604035703694e+00 -1.680219648125313991e+00 1.358999999999999098e+00
1.660794439677840018e+00 -1.680287191161397020e+00 1.358999999999999098e+00
1.660048245357582886e+00 -1.680354570334511966e+00 1.358999999999999098e+00
1.659302021154967832e+00 -1.680421785432969717e+00 1.358999999999999098e+00
1.667329269865721386e+00 -1.679690017828451509e+00 1.358999999999999098e+00
1.658555767140708070e+00 -1.680488836249468765e+00 1.358999999999999098e+00
1.666583340420789483e+00 -1.679758825251395749e+00 1.358999999999999098e+00
1.657809483389609539e+00 -1.680555722574781363e+00 1.358999999999999098e+00
1.665837380457990236e+00 -1.679827470425956815e+00 1.358999999999999098e+00
1.657063169967383232e+00 -1.680622444202535259e+00 1.358999999999999098e+00
1.665091390051220088e+00 -1.679895953144647347e+00 1.358999999999999098e+00
1.656316826948835086e+00 -1.680689000924772802e+00 1.358999999999999098e+00
1.664345369265053165e+00 -1.679964273201843161e+00 1.358999999999999098e+00
1.655570454421731341e+00 -1.680755392526340986e+00 1.358999999999999098e+00
1.663599318175204900e+00 -1.680032430385895559e+00 1.358999999999999098e+00
1.662853236855116990e+00 -1.680100424488749411e+00 1.358999999999999098e+00
1.662107125376184769e+00 -1.680168255302855185e+00 1.358999999999999098e+00
1.661360983813668923e+00 -1.680235922616752253e+00 1.358999999999999098e+00
1.654979821578297816e+00 -1.683772714250372449e+00 1.359999999999998987e+00
1.663023099170015229e+00 -1.683048570602357907e+00 1.359999999999998987e+00
1.654232079648327414e+00 -1.683839048587331799e+00 1.359999999999998987e+00
1.662275678423437597e+00 -1.683116675959071440e+00 1.359999999999998987e+00
1.653484308298136085e+00 -1.683905217089017414e+00 1.359999999999998987e+00
1.661528227466515517e+00 -1.683184617734132082e+00 1.359999999999998987e+00
1.652736507600597093e+00 -1.683971219545759901e+00 1.359999999999998987e+00
1.660780746375873917e+00 -1.683252395717385497e+00 1.359999999999998987e+00
1.651988677625514157e+00 -1.684037055751770096e+00 1.359999999999998987e+00
1.660033235224158688e+00 -1.683320009699663666e+00 1.359999999999998987e+00
1.659285694084356777e+00 -1.683387459469957159e+00 1.359999999999998987e+00
1.658538123024907662e+00 -1.683454744821628379e+00 1.359999999999998987e+00
1.657790522119025667e+00 -1.683521865545725138e+00 1.359999999999998987e+00
1.657042891448565314e+00 -1.683588821428940507e+00 1.359999999999998987e+00
1.656295231075826990e+00 -1.683655612265907431e+00 1.359999999999998987e+00
1.655547541086075825e+00 -1.683722237842357972e+00 1.359999999999998987e+00
1.663590574283606571e+00 -1.682996751015827464e+00 1.359999999999998987e+00
1.654799821544340688e+00 -1.683788697953751745e+00 1.359999999999998987e+00
1.662843176519505306e+00 -1.683064980436046909e+00 1.359999999999998987e+00
1.654052072519970551e+00 -1.683854992390546368e+00 1.359999999999998987e+00
1.662095748497197434e+00 -1.683133046432155888e+00 1.359999999999998987e+00
1.653304294096411553e+00 -1.683921120940255367e+00 1.359999999999998987e+00
1.661348290278301221e+00 -1.683200948798906138e+00 1.359999999999998987e+00
1.652556486345513775e+00 -1.683987083394314688e+00 1.359999999999998987e+00
1.660600801942397453e+00 -1.683268687321743284e+00 1.359999999999998987e+00
1.651808649337763057e+00 -1.684052879545481440e+00 1.359999999999998987e+00
1.659853283566111060e+00 -1.683336261791137378e+00 1.359999999999998987e+00
1.659105735216744648e+00 -1.683403672001378082e+00 1.359999999999998987e+00
1.658358156967057795e+00 -1.683470917740570227e+00 1.359999999999998987e+00
1.657610548893448055e+00 -1.683537998800799684e+00 1.359999999999998987e+00
1.651319452140217692e+00 -1.687013156009044446e+00 1.360999999999998877e+00
1.659378227426497432e+00 -1.686295265635106899e+00 1.360999999999998877e+00
1.650570271330398242e+00 -1.687078902337040276e+00 1.360999999999998877e+00
1.658629365017812773e+00 -1.686362795431160855e+00 1.360999999999998877e+00
1.649821061357858554e+00 -1.687144481670465046e+00 1.360999999999998877e+00
1.657880472659808646e+00 -1.686430160491839692e+00 1.360999999999998877e+00
1.649071822303316281e+00 -1.687209893794611837e+00 1.360999999999998877e+00
1.657131550424335131e+00 -1.686497360605667462e+00 1.360999999999998877e+00
1.648322554234756154e+00 -1.687275138503533389e+00 1.360999999999998877e+00
1.656382598381309634e+00 -1.686564395565416374e+00 1.360999999999998877e+00
1.655633616606674963e+00 -1.686631265158567317e+00 1.360999999999998877e+00
1.654884605167733724e+00 -1.686697969179001833e+00 1.360999999999998877e+00
1.654135564151797411e+00 -1.686764507409603597e+00 1.360999999999998877e+00
1.653386493620256914e+00 -1.686830879644643177e+00 1.360999999999998877e+00
1.652637393654739384e+00 -1.686897085672407037e+00 1.360999999999998877e+00
1.651888264321410560e+00 -1.686963125284081766e+00 1.360999999999998877e+00
1.659946797327055634e+00 -1.686243882284513163e+00 1.360999999999998877e+00
1.651139105700533349e+00 -1.687028998267998015e+00 1.360999999999998877e+00
1.659197957709398707e+00 -1.686311537018337914e+00 1.360999999999998877e+00
1.650389917860547229e+00 -1.687094704416705948e+00 1.360999999999998877e+00
1.658449088084328338e+00 -1.686379027177507872e+00 1.360999999999998877e+00
1.649640700881487732e+00 -1.687160243516985458e+00 1.360999999999998877e+00
1.657700188525740970e+00 -1.686446352549887395e+00 1.360999999999998877e+00
1.648891454837706050e+00 -1.687225615357171860e+00 1.360999999999998877e+00
1.656951259103440321e+00 -1.686513512928447200e+00 1.360999999999998877e+00
1.648142179798096407e+00 -1.687290819732664149e+00 1.360999999999998877e+00
1.656202299899735664e+00 -1.686580508097246689e+00 1.360999999999998877e+00
1.655453310977154757e+00 -1.686647337852281714e+00 1.360999999999998877e+00
1.654704292416187883e+00 -1.686714001979467303e+00 1.360999999999998877e+00
1.653955244287093507e+00 -1.686780500268850069e+00 1.360999999999998877e+00
1.647751630494315833e+00 -1.690195930499447163e+00 1.361999999999998767e+00
1.655825627850742165e+00 -1.689484254804444641e+00 1.361999999999998767e+00
1.647001036410447483e+00 -1.690261092547866939e+00 1.361999999999998767e+00
1.655075349408829055e+00 -1.689551212509361466e+00 1.361999999999998767e+00
1.646250413427384984e+00 -1.690326086462062172e+00 1.361999999999998767e+00
1.654325041268730700e+00 -1.689618004350189828e+00 1.361999999999998767e+00
1.645499761619934276e+00 -1.690390912029813064e+00 1.361999999999998767e+00
1.653574703505935162e+00 -1.689684630115867892e+00 1.361999999999998767e+00
1.644749081062901297e+00 -1.690455569041364070e+00 1.361999999999998767e+00
1.652824336193202015e+00 -1.689751089595126432e+00 1.361999999999998767e+00
1.652073939401926594e+00 -1.689817382577963212e+00 1.361999999999998767e+00
1.651323513211234939e+00 -1.689883508851443894e+00 1.361999999999998767e+00
1.650573057689566525e+00 -1.689949468206921379e+00 1.361999999999998767e+00
1.649822572916274765e+00 -1.690015260430610899e+00 1.361999999999998767e+00
1.649072058962754994e+00 -1.690080885313709702e+00 1.361999999999998767e+00
1.648321515906769008e+00 -1.690146342642306454e+00 1.361999999999998767e+00
